,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,42,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:49:53.474678040,3,0,1,0,0,129,15,1,33,0,55,,,,
1,42,0,1,2,0,0,0,0,0,0,0,0,0,-1,6,1,18,0,1,2020-10-17 17:49:55.614700079,0,0,0,0,0,129,6,2,32,255,67,-56.2588,,,
2,42,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:49:56.743670940,1,0,2,0,0,129,6,1,38,1,99,-56.2588,1211.67,,
3,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 17:50:01.562601089,1,0,5,0,0,129,7,0,1,1200,2,-56.2588,1211.67,,
4,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:50:02.618684053,4,0,3,0,0,129,9,1,42,1,18,-56.2588,1211.67,,1350.56
5,42,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:50:12.457640886,1,0,5,0,0,129,8,0,1,1100,6,-56.2588,1211.67,,1350.56
6,42,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:50:15.584665060,2,0,4,0,0,129,0,1,55,2,40,-56.2588,1211.67,79.9076,1350.56
7,42,0,1,2,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 17:50:19.632600069,1,0,6,0,0,129,9,3,1,1,107,-56.2588,1211.67,79.9076,1350.56
8,72,1,0,1,1,2,6,1,3,1,4,1,0,-1,0,0,0,0,1,2020-10-17 17:50:23.628613949,3,0,1,0,0,129,0,1,33,0,60,-56.2588,1211.67,79.9076,1350.56
9,206,1,1,0,2,1,2,1,1,3,2,1,0,0.001168000,0,0,0,0,1,2020-10-17 17:50:24.858606100,1,0,6,0,0,129,10,3,1,1,106,-56.2588,1211.67,79.9076,1350.56
