,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3
0,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:24.777720928,4,0,2,0,0,129,6,2,36,511,112,,,
1,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:26.277754068,8,0,4,0,0,129,14,1,42,1,14,,,1350.55
2,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,6,1,18,0,1,2020-10-17 18:51:35.599662066,5,0,8,0,0,129,8,0,1,1200,2,,,1350.55
3,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 18:51:39.148722887,0,0,5,0,0,129,6,1,46,1,23,,,1350.55
4,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:39.701659918,2,0,0,0,0,129,7,2,32,255,79,-56.3867,,1350.55
5,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 18:51:44.282599926,5,0,8,0,0,129,9,0,1,1100,6,-56.3867,,1350.55
6,60,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:50.626745939,6,0,6,0,0,129,6,1,55,2,44,-56.3867,79.9282,1350.55
7,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,1,0,2,0,1,2020-10-17 18:51:56.346667051,7,0,8,0,0,129,6,0,1,1000,0,-56.3867,79.9282,1350.55
8,72,1,0,2,1,2,10,1,8,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:51:58.965605021,5,0,3,0,0,129,10,1,38,1,111,-56.3867,79.9282,1350.55
9,208,1,2,0,2,1,4,1,1,8,3,1,0,0.001170000,0,0,0,0,1,2020-10-17 18:52:00.311652899,3,0,10,0,0,129,7,2,16,15,64,-56.3867,79.9282,1350.55
10,60,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:52:01.347703934,2,0,0,0,0,129,6,2,32,255,81,-56.4314,79.9282,1350.55
11,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,10,2,95,0,1,2020-10-17 18:52:07.232613087,7,0,1,0,0,129,7,1,33,8,74,-56.4314,79.9282,1350.55
12,60,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:52:07.830697060,6,0,8,0,0,129,7,0,1,78,5,-56.4314,79.9282,1350.55
13,72,1,0,2,1,2,10,1,6,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:52:11.714751959,1,0,7,0,0,129,7,1,58,1,48,-56.4314,79.9282,1350.55
14,239,1,2,0,2,1,6,1,1,6,6,1,0,0.001256000,0,0,0,0,1,2020-10-17 18:52:15.666753054,8,0,8,0,0,129,15,0,1,1300,3,-56.4314,79.9282,1350.55
15,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:52:22.400702000,6,0,8,0,0,129,8,0,1,78,10,-56.4314,79.9282,1350.55
16,42,0,2,3,0,0,0,0,0,0,0,0,0,-1,10,2,95,0,1,2020-10-17 18:52:24.930682898,4,0,2,0,0,129,7,2,36,511,113,-56.4314,79.9282,1350.55
