,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,72,1,1,0,1,2,10,1,3,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:17:40.228376389,6,0,6,0,0,129,6,1,55,2,27,,,,
1,286,1,0,1,2,1,8,1,1,3,8,1,0,0.151613020,0,0,0,1,2,2020-10-17 18:17:52.609547853,5,0,3,0,0,129,7,1,38,1,78,,,,
2,72,1,1,0,1,2,10,1,5,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:17:53.979457140,3,0,10,0,0,129,5,2,16,15,39,-125.309,,,
3,225,1,0,1,2,1,5,1,1,5,4,1,0,0.151716146,0,0,0,0,1,2020-10-17 18:17:55.008609056,2,0,0,0,0,129,4,2,32,255,55,-125.309,,,
4,72,1,1,0,1,2,10,1,4,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:18:00.727619886,7,0,1,0,0,129,6,1,33,0,49,-125.309,,,
5,142,1,0,1,2,1,1,1,1,4,14,1,0,0.151682508,0,0,0,0,1,2020-10-17 18:18:01.171510696,5,0,9,0,0,129,8,3,1,3,86,-125.309,,,
6,72,1,1,0,1,2,10,1,11,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:18:05.520762920,1,0,7,0,0,129,5,1,58,1,30,-125.309,,,-125.49
7,196,1,0,1,2,1,2,1,1,11,1,1,0,0.152863100,0,0,0,0,1,2020-10-17 18:18:16.616698265,5,0,9,0,0,129,9,3,1,4,87,-125.309,,,-125.49
8,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:18.918767214,4,0,2,0,0,129,5,2,36,511,81,-125.309,,,-125.49
9,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:20.105768204,8,0,4,0,0,129,7,1,42,1,7,-125.309,,,-125.49
10,72,1,1,0,1,2,10,1,6,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:18:31.647794724,6,0,9,0,0,129,7,3,1,0,83,-125.309,,,-125.49
11,206,1,0,1,2,1,3,1,1,6,2,1,0,0.153010332,0,0,0,0,1,2020-10-17 18:18:32.933903933,0,0,5,0,0,129,5,1,46,1,14,-125.309,,-197.574,-125.49
12,89,1,1,0,1,2,13,1,5,1,12,1,0,8.409448266,0,0,0,1,0,2020-10-17 18:18:33.607862234,2,0,0,0,0,129,6,2,32,255,54,-125.309,,-197.574,-125.49
13,91,1,0,1,2,1,14,1,1,5,13,1,0,0.152514708,0,0,0,0,1,2020-10-17 18:18:40.380880833,6,0,6,0,0,129,8,1,55,2,28,-125.309,,-197.574,-125.49
14,72,1,1,0,1,2,10,1,9,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:18:45.615879536,7,0,9,0,0,129,7,3,1,1,85,-125.309,,-197.574,-125.49
15,293,1,0,1,2,1,9,1,1,9,9,1,0,0.151938789,0,0,0,0,1,2020-10-17 18:18:52.761932850,5,0,3,0,0,129,10,1,38,1,79,-125.309,,-197.574,-125.49
16,89,1,1,0,1,2,13,1,5,1,12,1,0,15.292319670,0,0,0,1,0,2020-10-17 18:18:54.131970167,3,0,10,0,0,129,6,2,16,15,38,-125.309,,-197.574,-125.49
17,91,1,0,1,2,1,14,1,1,5,13,1,0,0.152867760,0,0,0,0,1,2020-10-17 18:18:55.162053585,2,0,0,0,0,129,5,2,32,255,53,-125.309,,-197.574,-125.49
18,72,1,1,0,1,2,10,1,7,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:19:00.880109072,7,0,1,0,0,129,8,1,33,0,48,-125.309,,-197.574,-125.49
19,208,1,0,1,2,1,4,1,1,7,3,1,0,0.153052096,0,0,0,0,1,2020-10-17 18:19:05.674094439,1,0,7,0,0,129,6,1,58,1,29,-125.309,,-197.574,-125.49
20,72,1,1,0,1,2,10,1,10,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:19:10.594106674,6,0,8,0,0,129,9,0,1,78,2,-125.309,,-197.574,-125.49
21,239,1,0,1,2,1,6,1,1,10,6,1,0,0.151962842,0,0,0,1,2,2020-10-17 18:19:19.071200132,4,0,2,0,0,129,6,2,36,511,82,-125.309,,-197.574,-125.49
22,89,1,1,0,1,2,13,1,3,1,12,1,0,51.267777214,0,0,0,1,0,2020-10-17 18:19:20.259157181,8,0,4,0,0,129,8,1,42,1,8,-125.309,,-197.574,-125.49
23,91,1,0,1,2,1,14,1,1,3,13,1,0,0.151641263,0,0,0,0,1,2020-10-17 18:19:21.292162895,6,0,8,0,0,129,10,0,1,78,5,-125.309,,-197.574,-125.49
24,72,1,1,0,1,2,10,1,8,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:19:33.087323427,0,0,5,0,0,129,6,1,46,1,15,-125.309,,-197.703,-125.49
25,253,1,0,1,2,1,7,1,1,8,7,1,0,0.152230529,0,0,0,0,1,2020-10-17 18:19:33.761270761,2,0,0,0,0,129,7,2,32,255,56,-125.309,,-197.703,-125.49
26,72,1,1,0,1,2,10,1,2,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:19:36.499294996,5,0,8,0,0,129,11,0,1,1200,1,-125.309,,-197.703,-125.49
27,196,1,0,1,2,1,2,1,1,2,1,1,0,0.151997807,0,0,0,1,2,2020-10-17 18:19:40.533349752,6,0,6,0,0,129,11,1,55,2,26,-125.309,,-197.703,-125.49
28,72,1,1,0,1,2,10,1,3,1,5,1,0,8.580930540,0,0,0,0,1,2020-10-17 18:19:45.057348967,5,0,8,0,0,129,12,0,1,1100,3,-125.309,,-197.703,-125.49
29,286,1,0,1,2,1,8,1,1,3,8,1,0,0.152155619,0,0,0,1,2,2020-10-17 18:19:52.712384939,8,0,8,0,0,129,9,0,1,1000,0,-125.309,,-197.703,-125.49
30,89,1,1,0,1,2,13,1,6,1,12,1,0,44.736966481,0,0,0,1,0,2020-10-17 18:19:52.914438009,5,0,3,0,0,129,13,1,38,1,77,-125.309,,-197.703,-125.49
31,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:19:54.284412146,3,0,10,0,0,129,7,2,16,15,37,-124.279,,-197.703,-125.49
32,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:19:55.314481974,2,0,0,0,0,129,6,2,32,255,52,-124.279,,-197.703,-125.49
33,91,1,0,1,2,1,14,1,1,6,13,1,0,0.151293147,0,0,0,1,2,2020-10-17 18:19:58.753459454,8,0,8,0,0,129,10,0,1,1300,4,-124.279,,-197.703,-125.49
34,72,1,1,0,1,2,10,1,5,1,5,1,0,35.994095723,0,0,0,0,1,2020-10-17 18:20:01.032519341,7,0,1,0,0,129,9,1,33,0,50,-124.279,,-197.703,-125.49
35,225,1,0,1,2,1,5,1,1,5,4,1,0,0.151139025,0,0,0,0,1,2020-10-17 18:20:05.827606916,1,0,7,0,0,129,7,1,58,1,31,-124.279,,-197.703,-125.188
36,72,1,1,0,1,2,10,1,4,1,5,1,0,60.000266752,0,0,0,0,1,2020-10-17 18:20:10.659602880,7,0,8,0,0,129,10,0,1,1000,0,-124.279,,-197.703,-125.188
37,142,1,0,1,2,1,1,1,1,4,14,1,0,0.152246177,0,0,0,0,1,2020-10-17 18:20:19.223689079,4,0,2,0,0,129,7,2,36,511,80,-124.279,,-197.703,-125.188
38,72,1,1,0,1,2,10,1,11,1,5,1,0,60.001106992,0,0,0,0,1,2020-10-17 18:20:20.411641836,8,0,4,0,0,129,11,1,42,1,6,-124.279,,-197.703,-125.188
39,196,1,0,1,2,1,2,1,1,11,1,1,0,0.152337519,0,0,0,0,1,2020-10-17 18:20:33.419556379,0,0,5,0,0,129,7,1,46,1,16,-124.279,,-194.283,-125.188
40,72,1,1,0,1,2,10,1,6,1,5,1,0,15.112742670,0,0,0,0,1,2020-10-17 18:20:34.059523106,2,0,0,0,0,129,8,2,32,255,51,-124.279,,-194.283,-125.188
41,206,1,0,1,2,1,3,1,1,6,2,1,0,0.151486735,0,0,0,1,2,2020-10-17 18:20:36.506046295,5,0,9,0,0,129,14,3,1,3,86,-124.279,,-194.283,-125.188
42,72,1,1,0,1,2,10,1,9,1,5,1,0,60.001013896,0,0,0,0,1,2020-10-17 18:20:40.759624481,6,0,6,0,0,129,12,1,55,2,25,-124.279,,-194.283,-125.188
43,293,1,0,1,2,1,9,1,1,9,9,1,0,0.152317603,0,0,0,1,2,2020-10-17 18:20:51.562438965,5,0,9,0,0,129,15,3,1,4,87,-124.279,,-194.283,-125.188
44,81,1,1,0,1,2,11,1,3,1,10,1,0,30.061186056,0,0,0,1,0,2020-10-17 18:20:53.208745003,5,0,3,0,0,129,0,1,38,1,71,-124.279,,-194.283,-125.188
45,85,1,0,1,2,1,12,1,1,3,11,1,0,0.152039684,0,0,0,1,2,2020-10-17 18:20:54.531840086,3,0,10,0,0,129,8,2,16,15,40,-167.641,,-194.283,-125.188
46,72,1,1,0,1,2,10,1,7,1,5,1,0,60.001014507,0,0,0,0,1,2020-10-17 18:20:55.543910503,2,0,0,0,0,129,7,2,32,255,57,-167.641,,-194.283,-125.188
47,208,1,0,1,2,1,4,1,1,7,3,1,0,0.151418395,0,0,0,0,1,2020-10-17 18:21:01.343878508,7,0,1,0,0,129,11,1,33,8,66,-167.641,,-194.283,-125.188
48,72,1,1,0,1,2,10,1,10,1,5,1,0,60.000956993,0,0,0,0,1,2020-10-17 18:21:06.123810768,1,0,7,0,0,129,8,1,58,1,35,-167.641,,-194.283,-137.469
49,239,1,0,1,2,1,6,1,1,10,6,1,0,0.152432119,0,0,0,0,1,2020-10-17 18:21:07.002775431,7,0,9,0,0,129,12,3,1,1,85,-167.641,,-194.283,-137.469
50,81,1,1,0,1,2,11,1,3,1,10,1,0,10.546186399,0,0,0,1,0,2020-10-17 18:21:19.512124538,4,0,2,0,0,129,8,2,36,503,75,-167.641,,-194.283,-137.469
51,85,1,0,1,2,1,12,1,1,3,11,1,0,0.151869910,0,0,0,1,2,2020-10-17 18:21:20.707938433,8,0,4,0,0,129,12,1,42,1,9,-167.641,,-194.283,-137.469
52,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:21:33.724472523,0,0,5,0,0,129,8,1,46,1,18,-167.641,,-545.547,-137.469
53,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:21:34.364028215,2,0,0,0,0,129,9,2,32,255,62,-167.641,,-545.547,-137.469
54,72,1,1,0,1,2,10,1,8,1,5,1,0,60.000743667,0,0,0,0,1,2020-10-17 18:21:40.993428707,6,0,6,0,0,129,13,1,55,2,21,-167.641,,-545.547,-137.469
55,253,1,0,1,2,1,7,1,1,8,7,1,0,0.152675736,0,0,0,0,1,2020-10-17 18:21:49.643536091,7,0,9,0,0,129,13,3,1,1,85,-167.641,,-545.547,-137.469
56,72,1,1,0,1,2,10,1,2,1,5,1,0,60.000912088,0,0,0,0,1,2020-10-17 18:21:53.452532768,5,0,3,0,0,129,1,1,38,1,69,-167.641,,-545.547,-137.469
57,196,1,0,1,2,1,2,1,1,2,1,1,0,0.152496374,0,0,0,0,1,2020-10-17 18:21:54.764546633,3,0,10,0,0,129,9,2,16,15,42,-361.876,,-545.547,-137.469
58,81,1,1,0,1,2,11,1,5,1,10,1,0,43.585232192,0,0,0,1,0,2020-10-17 18:21:55.781040668,2,0,0,0,0,129,8,2,32,255,63,-361.876,,-545.547,-137.469
59,85,1,0,1,2,1,12,1,1,5,11,1,0,0.152129814,0,0,0,1,2,2020-10-17 18:22:01.645281315,7,0,1,0,0,129,14,1,33,8,47,-361.876,,-545.547,-137.469
60,72,1,1,0,1,2,10,1,3,1,5,1,0,19.089576682,0,0,0,0,1,2020-10-17 18:22:06.424954891,1,0,7,0,0,129,9,1,58,1,34,-361.876,,-545.547,-172.109
61,286,1,0,1,2,1,8,1,1,3,8,1,0,0.151610227,0,0,0,0,1,2020-10-17 18:22:19.822684526,4,0,2,0,0,129,9,2,36,503,76,-361.876,,-545.547,-172.109
62,81,1,1,0,1,2,11,1,5,1,10,1,0,8.406725881,0,0,0,1,0,2020-10-17 18:22:21.016455173,8,0,4,0,0,129,13,1,42,1,11,-361.876,,-545.547,-172.109
63,85,1,0,1,2,1,12,1,1,5,11,1,0,0.151328191,0,0,0,1,2,2020-10-17 18:22:34.024399042,0,0,5,0,0,129,9,1,46,1,19,-361.876,,-545.478,-172.109
64,81,1,1,0,1,2,11,1,10,1,10,1,0,32.302214084,0,0,0,1,0,2020-10-17 18:22:34.656994820,2,0,0,0,0,129,10,2,32,255,64,-361.876,,-545.478,-172.109
