,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,value5
0,72,1,1,0,1,2,6,1,2,1,4,1,0,-1,0,0,0,0,1,2020-10-17 18:05:21.931890965,2,0,4,0,0,129,5,1,55,2,33,,,79.873,,
1,286,1,0,1,2,1,5,1,1,2,6,1,0,0.152173290,0,0,0,1,2,2020-10-17 18:05:29.649898291,3,0,1,0,0,129,2,1,33,0,42,,,79.873,1005.24,
2,72,1,1,0,1,2,6,1,3,1,4,1,0,-1,20,4,60,0,1,2020-10-17 18:05:31.713966846,0,0,0,0,0,129,5,2,32,255,54,-56.258,,79.873,1005.24,
3,206,1,0,1,2,1,2,1,1,3,2,1,0,0.152214980,0,0,0,0,1,2020-10-17 18:05:33.026936769,1,0,2,0,0,129,0,1,38,1,75,-56.258,1211.68,79.873,1005.24,
4,72,1,1,0,1,2,6,1,4,1,4,1,0,-1,4,1,12,0,1,2020-10-17 18:05:39.043071270,4,0,3,0,0,129,1,1,42,1,14,-56.258,1211.68,79.873,1005.24,1236.1
5,196,1,0,1,2,1,1,1,1,4,1,1,0,0.152231526,0,0,0,0,1,2020-10-17 18:05:40.741955519,1,0,6,0,0,129,1,3,1,1,80,-56.258,1211.68,79.873,1005.24,1236.1
6,72,1,1,0,1,2,6,1,6,1,4,1,0,-1,4,1,12,0,1,2020-10-17 18:05:52.085254192,2,0,4,0,0,129,6,1,55,2,32,-56.258,1211.68,79.8731,1005.24,1236.1
7,225,1,0,1,2,1,3,1,1,6,3,1,0,0.151220004,0,0,0,1,2,2020-10-17 18:05:53.961268663,1,0,5,0,0,129,2,0,1,1200,2,-56.258,1211.68,79.8731,1005.24,1236.1
8,72,1,1,0,1,2,6,1,5,1,4,1,0,-1,16,3,48,0,1,2020-10-17 18:05:59.802296162,3,0,1,0,0,129,3,1,33,0,41,-56.258,1211.68,79.8731,1005.39,1236.1
9,239,1,0,1,2,1,4,1,1,5,5,1,0,0.152362087,0,0,0,1,2,2020-10-17 18:06:01.867340565,0,0,0,0,0,129,6,2,32,255,55,-56.4416,1211.68,79.8731,1005.39,1236.1
