,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,72,1,0,1,1,2,10,1,2,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:28:46.071741104,6,0,6,0,0,129,12,1,55,2,28,,79.873,,
1,286,1,1,0,2,1,8,1,1,2,8,1,0,0.051147000,0,0,0,0,1,2020-10-17 18:28:54.645688057,5,0,3,0,0,129,10,1,38,1,74,,79.873,,
2,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,18,0,106,0,1,2020-10-17 18:28:55.936698914,3,0,10,0,0,129,0,2,16,15,41,,79.873,,
3,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:28:56.982763052,2,0,0,0,0,129,15,2,32,255,59,-56.258,79.873,,
4,72,1,0,1,1,2,10,1,5,1,5,1,0,-1,3,0,9,0,1,2020-10-17 18:29:02.739701986,7,0,1,0,0,129,6,1,33,0,50,-56.258,79.873,1005.24,
5,225,1,1,0,2,1,5,1,1,5,4,1,0,0.052063000,0,0,0,0,1,2020-10-17 18:29:07.594763041,1,0,7,0,0,129,0,1,58,1,30,-56.258,79.873,1005.24,
6,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:29:20.916049004,4,0,2,0,0,129,0,2,36,511,77,-56.258,79.873,1005.24,
7,72,1,0,1,1,2,10,1,4,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:29:22.107768059,8,0,4,0,0,129,4,1,42,1,8,-56.258,79.873,1005.24,1350.55
8,142,1,1,0,2,1,1,1,1,4,14,1,0,0.051124000,0,0,0,0,1,2020-10-17 18:29:28.338706017,5,0,9,0,0,129,11,3,1,1,84,-56.258,79.873,1005.24,1350.55
9,72,1,0,1,1,2,10,1,11,1,5,1,0,-1,6,0,57,0,1,2020-10-17 18:29:35.133835077,0,0,5,0,0,129,0,1,46,1,14,-56.258,79.873,1005.24,1350.55
10,196,1,1,0,2,1,2,1,1,11,1,1,0,0.051270000,0,0,0,1,2,2020-10-17 18:29:35.753779888,2,0,0,0,0,129,1,2,32,255,58,-56.2572,79.873,1005.24,1350.55
11,42,0,0,1,0,0,0,0,0,0,0,0,0,-1,6,0,57,0,1,2020-10-17 18:29:38.753695965,5,0,8,0,0,129,12,0,1,1200,1,-56.2572,79.873,1005.24,1350.55
12,60,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:29:46.224046946,6,0,6,0,0,129,13,1,55,2,27,-56.2572,79.897,1005.24,1350.55
