,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3
0,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:09:20.873373985,4,0,3,0,0,129,9,1,42,1,9,,,1350.55
1,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:09:28.318360090,1,0,2,0,0,129,3,1,38,1,55,,,1350.55
2,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,36,6,108,0,1,2020-10-17 19:09:33.702414036,0,0,0,0,0,129,5,2,32,255,37,-56.2576,,1350.55
3,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:09:39.893503904,2,0,4,0,0,129,14,1,55,2,26,-56.2576,79.8732,1350.55
4,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,18,3,54,0,1,2020-10-17 19:09:40.013453960,1,0,5,0,0,129,4,0,1,1200,2,-56.2576,79.8732,1350.55
5,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:09:45.138459921,1,0,5,0,0,129,5,0,1,1100,4,-56.2576,79.8732,1350.55
6,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,6,1,18,0,1,2020-10-17 19:09:52.725604057,3,0,1,0,0,129,4,1,33,0,32,-56.2576,79.8732,1350.55
7,72,1,0,1,1,2,6,1,5,1,4,1,0,-1,0,0,0,0,1,2020-10-17 19:09:58.228755951,3,0,6,0,0,129,5,3,1,1,60,-56.2576,79.8732,1350.55
8,239,1,1,0,2,1,4,1,1,5,5,1,0,0.052223000,0,0,0,0,1,2020-10-17 19:10:10.052686930,3,0,5,0,0,129,6,0,1,1000,0,-56.2576,79.8732,1350.55
9,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 19:10:14.990693092,2,0,5,0,0,129,15,0,1,78,3,-56.2576,79.8732,1350.55
