,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,60,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:17:32.374870062,0,0,5,0,0,129,4,1,46,1,17,,,-197.575,
1,60,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:17:33.048784018,2,0,0,0,0,129,5,2,32,255,64,,,-197.575,
2,60,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:17:39.821826935,6,0,6,0,0,129,6,1,55,2,33,,,-197.575,
3,72,1,0,1,1,2,10,1,8,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:17:52.202846050,5,0,3,0,0,129,7,1,38,1,92,,,-197.575,
4,253,1,2,0,2,1,7,1,1,8,7,1,0,0.001869000,0,0,0,0,1,2020-10-17 18:17:53.572822094,3,0,10,0,0,129,5,2,16,15,46,-125.309,,-197.575,
5,72,1,0,1,1,2,10,1,2,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:17:54.601877928,2,0,0,0,0,129,4,2,32,255,63,-125.309,,-197.575,
6,196,1,2,0,2,1,2,1,1,2,1,1,0,0.000800000,0,0,0,0,1,2020-10-17 18:18:00.320858002,7,0,1,0,0,129,6,1,33,0,57,-125.309,,-197.575,
7,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:00.764755964,5,0,9,0,0,129,8,3,1,3,103,-125.309,,-197.575,
8,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:05.113917112,1,0,7,0,0,129,5,1,58,1,36,-125.309,,-197.575,-125.49
9,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:16.209799051,5,0,9,0,0,129,9,3,1,4,105,-125.309,,-197.575,-125.49
10,72,1,0,1,1,2,10,1,3,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:18:18.511884927,4,0,2,0,0,129,5,2,36,511,95,-125.309,,-197.575,-125.49
11,286,1,2,0,2,1,8,1,1,3,8,1,0,0.000919000,0,0,0,0,1,2020-10-17 18:18:19.698851109,8,0,4,0,0,129,7,1,42,1,7,-125.309,,-197.575,-125.49
12,42,0,2,0,0,0,0,0,0,0,0,0,0,-1,12,4,33,0,1,2020-10-17 18:18:31.240823984,6,0,9,0,0,129,7,3,1,0,99,-125.309,,-197.575,-125.49
13,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:18:32.526887894,0,0,5,0,0,129,5,1,46,1,16,-125.309,,-197.574,-125.49
14,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,3,1,9,0,1,2020-10-17 18:18:33.200848103,2,0,0,0,0,129,6,2,32,255,62,-125.309,,-197.574,-125.49
15,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:39.973808050,6,0,6,0,0,129,8,1,55,2,34,-125.309,,-197.574,-125.49
16,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:45.208831072,7,0,9,0,0,129,7,3,1,1,101,-125.309,,-197.574,-125.49
17,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,3,1,9,0,1,2020-10-17 18:18:52.354775906,5,0,3,0,0,129,10,1,38,1,93,-125.309,,-197.574,-125.49
18,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,3,1,9,0,1,2020-10-17 18:18:53.724853992,3,0,10,0,0,129,6,2,16,15,45,-125.309,,-197.574,-125.49
19,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:54.754884005,2,0,0,0,0,129,5,2,32,255,61,-125.309,,-197.574,-125.49
20,72,1,0,1,1,2,10,1,5,1,5,1,0,-1,3,1,9,0,1,2020-10-17 18:19:00.472800970,7,0,1,0,0,129,8,1,33,0,56,-125.309,,-197.574,-125.49
21,225,1,2,0,2,1,5,1,1,5,4,1,0,0.000926000,0,0,0,0,1,2020-10-17 18:19:05.266844988,1,0,7,0,0,129,6,1,58,1,35,-125.309,,-197.574,-125.49
22,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:19:10.186789989,6,0,8,0,0,129,9,0,1,78,2,-125.309,,-197.574,-125.49
23,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:19:18.663839102,4,0,2,0,0,129,6,2,36,511,96,-125.309,,-197.574,-125.49
24,72,1,0,1,1,2,10,1,4,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:19:19.851768017,8,0,4,0,0,129,8,1,42,1,8,-125.309,,-197.574,-125.49
25,142,1,2,0,2,1,1,1,1,4,14,1,0,0.001006000,0,0,0,0,1,2020-10-17 18:19:20.884779930,6,0,8,0,0,129,10,0,1,78,5,-125.309,,-197.574,-125.49
26,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,6,2,57,0,1,2020-10-17 18:19:32.679850101,0,0,5,0,0,129,6,1,46,1,18,-125.309,,-197.703,-125.49
27,72,1,0,1,1,2,10,1,11,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:19:33.353780985,2,0,0,0,0,129,7,2,32,255,65,-125.309,,-197.703,-125.49
28,196,1,2,0,2,1,2,1,1,11,1,1,0,0.002088000,0,0,0,0,1,2020-10-17 18:19:36.091744900,5,0,8,0,0,129,11,0,1,1200,1,-125.309,,-197.703,-125.49
29,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,3,1,48,0,1,2020-10-17 18:19:40.125821114,6,0,6,0,0,129,11,1,55,2,32,-125.309,,-197.703,-125.49
30,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,3,1,9,0,1,2020-10-17 18:19:44.649768114,5,0,8,0,0,129,12,0,1,1100,3,-125.309,,-197.703,-125.49
31,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:19:52.304764986,8,0,8,0,0,129,9,0,1,1000,0,-125.309,,-197.703,-125.49
32,42,0,2,2,0,0,0,0,0,0,0,0,0,-1,3,1,9,0,1,2020-10-17 18:19:52.506755113,5,0,3,0,0,129,13,1,38,1,91,-125.309,,-197.703,-125.49
