,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,72,1,1,0,1,2,12,1,5,1,7,1,0,-1,0,0,0,0,1,2020-10-17 15:51:44.224249601,7,0,7,0,0,129,10,0,55,2,44,,,,
1,286,1,0,1,2,1,9,1,1,5,10,1,0,0.151561124,0,0,0,0,1,2020-10-17 15:51:45.032259226,1,0,8,0,0,129,7,0,58,1,48,,,,-125.49
2,72,1,1,0,1,2,12,1,12,1,7,1,0,-1,0,0,0,0,1,2020-10-17 15:51:45.540220499,8,0,2,0,0,129,9,0,33,0,94,,,,-125.49
3,293,1,0,1,2,1,10,1,1,12,11,1,0,0.151455529,0,0,0,0,1,2020-10-17 15:51:48.448226690,6,0,4,0,0,129,12,0,38,1,126,,,,-125.49
4,72,1,1,0,1,2,12,1,3,1,7,1,0,-1,0,0,0,0,1,2020-10-17 15:51:54.176344872,0,0,6,0,0,129,8,0,46,1,17,,,-197.574,-125.49
5,206,1,0,1,2,1,4,1,1,3,3,1,0,0.151434826,0,0,0,0,1,2020-10-17 15:51:55.332258940,4,0,0,0,0,129,13,1,28,127,82,,-51.0801,-197.574,-125.49
6,72,1,1,0,1,2,12,1,9,1,7,1,0,-1,12,2,36,0,1,2020-10-17 15:51:56.662272215,5,0,3,0,0,129,12,1,36,511,128,,-51.0801,-197.574,-125.49
7,225,1,0,1,2,1,6,1,1,9,6,1,0,0.151446158,0,0,0,1,2,2020-10-17 15:52:01.522301197,2,0,1,0,0,129,15,1,32,255,96,,-51.0801,-197.574,-125.49
8,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 15:52:01.728267431,3,0,10,0,0,129,14,1,16,15,64,-125.309,-51.0801,-197.574,-125.49
9,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 15:52:06.374471903,9,0,5,0,0,129,9,0,42,1,0,-125.309,-51.0801,-197.574,-125.49
10,72,1,1,0,1,2,12,1,11,1,7,1,0,-1,16,3,48,0,1,2020-10-17 15:52:14.377579689,7,0,7,0,0,129,11,0,55,2,44,-125.309,-51.0801,-197.574,-125.49
11,253,1,0,1,2,1,8,1,1,11,9,1,0,0.151590189,0,0,0,0,1,2020-10-17 15:52:15.185597658,1,0,8,0,0,129,8,0,58,1,48,-125.309,-51.0801,-197.574,-125.49
12,72,1,1,0,1,2,12,1,10,1,7,1,0,-1,0,0,0,0,1,2020-10-17 15:52:15.693532705,8,0,2,0,0,129,10,0,33,0,94,-125.309,-51.0801,-197.574,-125.49
13,182,1,0,1,2,1,2,1,1,10,1,1,0,0.151535299,0,0,0,0,1,2020-10-17 15:52:18.601551771,6,0,4,0,0,129,13,0,38,1,126,-125.309,-51.0801,-197.574,-125.49
14,72,1,1,0,1,2,12,1,2,1,7,1,0,-1,5,1,15,0,1,2020-10-17 15:52:24.329594612,0,0,6,0,0,129,9,0,46,1,17,-125.309,-51.0801,-197.574,-125.49
