,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,72,1,0,1,1,2,10,1,7,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:17:18.721918106,4,0,2,0,0,129,4,2,36,511,94,,,,
1,208,1,1,0,2,1,4,1,1,7,3,1,0,0.050885000,0,0,0,0,1,2020-10-17 18:17:19.909837008,8,0,4,0,0,129,6,1,42,1,7,,,,
2,72,1,0,1,1,2,10,1,10,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:17:32.737839937,0,0,5,0,0,129,4,1,46,1,17,,,-197.575,
3,239,1,1,0,2,1,6,1,1,10,6,1,0,0.050909000,0,0,0,0,1,2020-10-17 18:17:33.411741972,2,0,0,0,0,129,5,2,32,255,63,,,-197.575,
4,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:17:40.184729099,6,0,6,0,0,129,6,1,55,2,32,,,-197.575,
5,42,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:17:52.565696955,5,0,3,0,0,129,7,1,38,1,90,,,-197.575,
6,60,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:17:53.935633898,3,0,10,0,0,129,5,2,16,15,45,-125.309,,-197.575,
7,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:17:54.964699984,2,0,0,0,0,129,4,2,32,255,62,-125.309,,-197.575,
8,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:00.683650017,7,0,1,0,0,129,6,1,33,0,56,-125.309,,-197.575,
9,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:01.127518892,5,0,9,0,0,129,8,3,1,3,100,-125.309,,-197.575,
10,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:05.476684093,1,0,7,0,0,129,5,1,58,1,35,-125.309,,-197.575,-125.49
11,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:16.572489977,5,0,9,0,0,129,9,3,1,4,101,-125.309,,-197.575,-125.49
12,72,1,0,1,1,2,10,1,8,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:18:18.874567986,4,0,2,0,0,129,5,2,36,511,93,-125.309,,-197.575,-125.49
13,253,1,1,0,2,1,7,1,1,8,7,1,0,0.052057000,0,0,0,0,1,2020-10-17 18:18:20.061521053,8,0,4,0,0,129,7,1,42,1,8,-125.309,,-197.575,-125.49
14,72,1,0,1,1,2,10,1,2,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:18:31.603409052,6,0,9,0,0,129,7,3,1,0,97,-125.309,,-197.575,-125.49
15,196,1,1,0,2,1,2,1,1,2,1,1,0,0.050973000,0,0,0,0,1,2020-10-17 18:18:32.889471054,0,0,5,0,0,129,5,1,46,1,16,-125.309,,-197.574,-125.49
16,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:33.563438892,2,0,0,0,0,129,6,2,32,255,61,-125.309,,-197.574,-125.49
17,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:40.336349010,6,0,6,0,0,129,8,1,55,2,33,-125.309,,-197.574,-125.49
18,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:18:45.571341991,7,0,9,0,0,129,7,3,1,1,99,-125.309,,-197.574,-125.49
