,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,value5
0,72,1,1,0,1,2,10,1,2,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:28:46.121388197,6,0,6,0,0,129,12,1,55,2,27,,,79.873,,
1,286,1,0,1,2,1,8,1,1,2,8,1,0,0.151679613,0,0,0,0,1,2020-10-17 18:28:54.695435762,5,0,3,0,0,129,10,1,38,1,73,,1211.68,79.873,,
2,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,23,4,147,0,1,2020-10-17 18:28:55.986430407,3,0,10,0,0,129,0,2,16,15,40,,1211.68,79.873,,
3,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:28:57.032493591,2,0,0,0,0,129,15,2,32,255,58,-56.258,1211.68,79.873,,
4,72,1,1,0,1,2,10,1,5,1,5,1,0,-1,10,2,30,0,1,2020-10-17 18:29:02.789445639,7,0,1,0,0,129,6,1,33,0,49,-56.258,1211.68,79.873,1005.24,
5,225,1,0,1,2,1,5,1,1,5,4,1,0,0.152658795,0,0,0,0,1,2020-10-17 18:29:07.644576311,1,0,7,0,0,129,0,1,58,1,29,-56.258,1211.68,79.873,1005.24,
6,72,1,1,0,1,2,10,1,4,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:29:20.965918779,4,0,2,0,0,129,0,2,36,511,75,-56.258,1211.68,79.873,1005.24,
7,142,1,0,1,2,1,1,1,1,4,14,1,0,0.151700971,0,0,0,0,1,2020-10-17 18:29:22.157606840,8,0,4,0,0,129,4,1,42,1,7,-56.258,1211.68,79.873,1005.24,1236.1
8,72,1,1,0,1,2,10,1,11,1,5,1,0,-1,10,2,95,0,1,2020-10-17 18:29:28.388558149,5,0,9,0,0,129,11,3,1,1,82,-56.258,1211.68,79.873,1005.24,1236.1
9,196,1,0,1,2,1,2,1,1,11,1,1,0,0.151828201,0,0,0,1,2,2020-10-17 18:29:35.183773994,0,0,5,0,0,129,0,1,46,1,13,-56.258,1211.68,79.873,1005.24,1236.1
10,72,1,1,0,1,2,10,1,6,1,5,1,0,-1,18,4,119,0,1,2020-10-17 18:29:35.803696632,2,0,0,0,0,129,1,2,32,255,57,-56.2572,1211.68,79.873,1005.24,1236.1
11,206,1,0,1,2,1,3,1,1,6,2,1,0,0.151720665,0,0,0,0,1,2020-10-17 18:29:38.803606749,5,0,8,0,0,129,12,0,1,1200,1,-56.2572,1211.68,79.873,1005.24,1236.1
12,72,1,1,0,1,2,10,1,9,1,5,1,0,-1,12,3,88,1,2,2020-10-17 18:29:46.274024963,6,0,6,0,0,129,13,1,55,2,26,-56.2572,1211.68,79.897,1005.24,1236.1
13,293,1,0,1,2,1,9,1,1,9,9,1,0,0.151825645,0,0,0,1,2,2020-10-17 18:29:48.604709625,5,0,8,0,0,129,13,0,1,1100,3,-56.2572,1211.68,79.897,1005.24,1236.1
14,72,1,1,0,1,2,10,1,7,1,5,1,0,-1,39,7,117,0,1,2020-10-17 18:29:54.844782829,7,0,8,0,0,129,7,0,1,1000,0,-56.2572,1211.68,79.897,1005.24,1236.1
15,208,1,0,1,2,1,4,1,1,7,3,1,0,0.153222001,0,0,0,1,2,2020-10-17 18:29:54.846648932,5,0,3,0,0,129,14,1,38,1,72,-56.2572,1203.55,79.897,1005.24,1236.1
16,72,1,1,0,1,2,10,1,10,1,5,1,0,-1,5,1,80,0,1,2020-10-17 18:29:56.139807224,3,0,10,0,0,129,1,2,16,15,41,-56.2572,1203.55,79.897,1005.24,1236.1
17,239,1,0,1,2,1,6,1,1,10,6,1,0,0.152863407,5,1,15,1,2,2020-10-17 18:29:57.185897827,2,0,0,0,0,129,0,2,32,255,59,-56.3222,1203.55,79.897,1005.24,1236.1
18,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,10,2,30,0,1,2020-10-17 18:30:02.941914082,7,0,1,0,0,129,8,1,33,8,48,-56.3222,1203.55,79.897,1001.25,1236.1
19,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:30:07.797927141,1,0,7,0,0,129,1,1,58,1,28,-56.3222,1203.55,79.897,1001.25,1236.1
20,89,1,1,0,1,2,13,1,5,1,12,1,0,33.542010760,0,0,0,1,2,2020-10-17 18:30:12.529055119,6,0,8,0,0,129,14,0,1,78,2,-56.3222,1203.55,79.897,1001.25,1236.1
21,91,1,0,1,2,1,14,1,1,5,13,1,0,0.151111504,5,1,15,1,2,2020-10-17 18:30:21.119074583,4,0,2,0,0,129,1,2,36,511,76,-56.3222,1203.55,79.897,1001.25,1236.1
22,72,1,1,0,1,2,10,1,8,1,5,1,0,-1,12,3,36,0,1,2020-10-17 18:30:21.612036467,6,0,8,0,0,129,15,0,1,78,5,-56.3222,1203.55,79.897,1001.25,1236.1
23,253,1,0,1,2,1,7,1,1,8,7,1,0,0.152025796,0,0,0,1,2,2020-10-17 18:30:22.310153246,8,0,4,0,0,129,5,1,42,1,8,-56.3222,1203.55,79.897,1001.25,1236.1
24,72,1,1,0,1,2,10,1,3,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:30:29.214002132,8,0,8,0,0,129,6,0,1,1000,0,-56.3222,1203.55,79.897,1001.25,1236.1
25,196,1,0,1,2,1,2,1,1,3,1,1,0,0.152949090,0,0,0,1,2,2020-10-17 18:30:35.337149620,0,0,5,0,0,129,1,1,46,1,14,-56.3222,1203.55,79.897,1001.25,1236.1
26,81,1,1,0,1,2,11,1,5,1,10,1,0,10.263132911,8,2,24,1,0,2020-10-17 18:30:35.957118034,2,0,0,0,0,129,2,2,32,255,55,-57.0326,1203.55,79.897,1001.25,1236.1
27,85,1,0,1,2,1,12,1,1,5,11,1,0,0.151915876,0,0,0,0,1,2020-10-17 18:30:36.062991381,8,0,8,0,0,129,7,0,1,1300,4,-57.0326,1203.55,79.897,1001.25,1236.1
28,72,1,1,0,1,2,10,1,2,1,5,1,0,60.000369997,19,3,59,0,1,2020-10-17 18:30:46.571801662,6,0,6,0,0,129,0,1,55,2,25,-57.0326,1203.55,79.4864,1001.25,1236.1
