,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:41:30.678267002,2,0,4,0,0,129,14,1,55,2,16,,79.8725,,
1,72,1,0,1,1,2,6,1,2,1,4,1,0,-1,0,0,0,0,1,2020-10-17 19:41:38.927396059,3,0,1,0,0,129,13,1,33,0,19,,79.8725,1005.24,
2,286,1,1,0,2,1,5,1,1,2,6,1,0,0.050775000,0,0,0,0,1,2020-10-17 19:41:40.129343033,0,0,0,0,0,129,5,2,32,255,23,-56.2587,79.8725,1005.24,
3,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:41:44.088387966,1,0,5,0,0,129,10,0,1,1200,2,-56.2587,79.8725,1005.24,
4,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,8,2,76,0,1,2020-10-17 19:42:00.631458998,1,0,5,0,0,129,11,0,1,1200,2,-56.2587,79.8725,1005.24,
5,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,12,3,36,0,1,2020-10-17 19:42:11.641557932,1,0,5,0,0,129,12,0,1,1100,4,-56.2587,79.8725,1005.24,
6,72,1,0,1,1,2,6,1,6,1,4,1,0,-1,0,0,0,0,1,2020-10-17 19:42:17.487602949,1,0,2,0,0,129,13,1,38,1,33,-56.2587,79.8725,1005.24,
7,206,1,1,0,2,1,2,1,1,6,2,1,0,0.050929000,0,0,0,0,1,2020-10-17 19:42:18.727642059,3,0,5,0,0,129,14,0,1,1000,0,-56.2587,79.8725,1005.24,
8,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:42:22.597693920,2,0,5,0,0,129,15,0,1,78,3,-56.2587,79.8725,1005.24,
9,72,1,0,1,1,2,6,1,4,1,4,1,0,-1,8,2,76,0,1,2020-10-17 19:42:24.515703916,4,0,3,0,0,129,9,1,42,1,9,-56.2587,79.8725,1005.24,1350.55
10,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:42:30.656697035,4,0,5,0,0,129,10,0,1,1100,1,-56.2587,79.8725,1005.24,1350.55
11,196,1,1,0,2,1,1,1,1,4,1,1,0,0.051861000,0,0,0,1,0,2020-10-17 19:42:30.830703020,2,0,4,0,0,129,0,1,55,2,15,-56.2587,78.7673,1005.24,1350.55
12,81,1,0,1,1,2,7,1,3,1,7,1,0,-1,12,2,36,0,1,2020-10-17 19:42:39.080796003,3,0,1,0,0,129,15,1,33,8,20,-56.2587,78.7673,1003.92,1350.55
13,85,1,1,0,2,1,8,1,1,3,8,1,0,0.051553000,0,0,0,0,1,2020-10-17 19:42:39.538758993,2,0,5,0,0,129,1,0,1,None,6,-56.2587,78.7673,1003.92,1350.55
14,60,0,1,0,0,0,0,0,0,0,0,0,0,-1,12,2,36,1,2,2020-10-17 19:42:40.280754089,0,0,0,0,0,129,6,2,32,255,22,-56.5545,78.7673,1003.92,1350.55
15,42,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:42:46.584842920,4,0,5,0,0,129,11,0,1,None,5,-56.5545,78.7673,1003.92,1350.55
16,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,11,2,33,0,1,2020-10-17 19:42:55.537873030,1,0,6,0,0,129,14,3,1,1,35,-56.5545,78.7673,1003.92,1350.55
17,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 19:43:17.672420979,1,0,5,0,0,129,15,0,1,1200,2,-56.5545,78.7673,1003.92,1350.55
18,60,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,2020-10-17 19:43:18.018212080,1,0,2,0,0,129,0,1,38,1,32,-56.5545,78.7673,1003.92,1350.55
19,81,1,0,1,1,2,7,1,3,1,7,1,0,-1,15,3,45,0,1,2020-10-17 19:43:24.843182087,4,0,3,0,0,129,12,1,42,1,8,-56.5545,78.7673,1003.92,1308.94
20,85,1,1,0,2,1,8,1,1,3,8,1,0,0.051087000,0,0,0,1,2,2020-10-17 19:43:25.496190071,3,0,5,0,0,129,0,0,1,1000,0,-56.5545,78.7673,1003.92,1308.94
21,42,0,0,1,0,0,0,0,0,0,0,0,0,-1,12,3,36,0,1,2020-10-17 19:43:31.124308109,2,0,4,0,0,129,2,1,55,2,13,-56.5545,84.6733,1003.92,1308.94
