,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,72,1,0,3,1,2,11,1,6,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:23:47.265566111,9,0,5,0,0,129,0,1,42,1,21,,,,1350.55
1,239,1,3,0,2,1,7,1,1,6,7,1,0,0.000439000,0,0,0,0,1,2020-10-17 16:23:47.701529980,8,0,2,0,0,129,4,1,33,0,201,,,,1350.55
2,72,1,0,3,1,2,11,1,4,1,6,1,0,-1,6,1,18,0,1,2020-10-17 16:23:48.389504910,5,0,3,0,0,129,13,2,36,511,300,,,,1350.55
3,206,1,3,0,2,1,4,1,1,4,3,1,0,0.000513000,0,0,0,0,1,2020-10-17 16:23:52.353516102,6,0,4,0,0,129,1,1,38,1,269,,1211.67,,1350.55
4,72,1,0,3,1,2,11,1,3,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:23:52.401571989,1,0,8,0,0,129,9,1,58,1,113,,1211.67,,1350.55
5,208,1,3,0,2,1,5,1,1,3,4,1,0,0.000453000,0,0,0,0,1,2020-10-17 16:23:55.396509886,2,0,1,0,0,129,0,2,32,255,228,-56.2571,1211.67,,1350.55
6,60,0,0,3,0,0,0,0,0,0,0,0,0,-1,11,2,33,0,1,2020-10-17 16:23:55.664500952,3,0,11,0,0,129,15,2,16,15,141,-56.2571,1211.67,,1350.55
7,42,0,3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 16:23:57.270627975,0,0,6,0,0,129,9,1,46,1,53,-56.2571,1211.67,,1350.55
8,72,1,0,3,1,2,11,1,8,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:23:58.584523916,4,0,0,0,0,129,14,2,28,127,179,-56.2571,1211.67,,1350.55
9,225,1,3,0,2,1,6,1,1,8,5,1,0,0.001592000,0,0,0,0,1,2020-10-17 16:23:59.246570110,6,0,10,0,0,129,2,3,1,1,311,-56.2571,1211.67,,1350.55
10,72,1,0,3,1,2,11,1,11,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:24:10.211639881,7,0,7,0,0,129,7,1,55,2,86,-56.2571,1211.67,79.8731,1350.55
11,293,1,3,0,2,1,10,1,1,11,10,1,0,0.001764000,0,0,0,1,2,2020-10-17 16:24:11.151521921,6,0,9,0,0,129,3,0,1,1200,2,-56.2571,1211.67,79.8731,1350.55
12,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 16:24:17.417599916,9,0,5,0,0,129,1,1,42,1,22,-56.2571,1211.67,79.8731,1350.55
13,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 16:24:17.853555918,8,0,2,0,0,129,5,1,33,0,200,-56.2571,1211.67,79.8731,1350.55
14,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 16:24:18.541533947,5,0,3,0,0,129,14,2,36,511,301,-56.2571,1211.67,79.8731,1350.55
15,72,1,0,3,1,2,11,1,7,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:24:22.505511045,6,0,4,0,0,129,4,1,38,1,268,-56.2571,1204.46,79.8731,1350.55
16,196,1,3,0,2,1,3,1,1,7,2,1,0,0.000603000,0,0,0,0,1,2020-10-17 16:24:22.553606987,1,0,8,0,0,129,10,1,58,1,112,-56.2571,1204.46,79.8731,1350.55
17,72,1,0,3,1,2,11,1,5,1,6,1,0,-1,5,1,15,0,1,2020-10-17 16:24:23.523519038,6,0,9,0,0,129,5,0,1,1100,5,-56.2571,1204.46,79.8731,1350.55
18,142,1,3,0,2,1,1,1,1,5,15,1,0,0.001261000,0,0,0,0,1,2020-10-17 16:24:25.549473047,2,0,1,0,0,129,1,2,32,255,229,-56.4258,1204.46,79.8731,1350.55
19,72,1,0,3,1,2,11,1,10,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:24:25.817557096,3,0,11,0,0,129,0,2,16,15,144,-56.4258,1204.46,79.8731,1350.55
20,253,1,3,0,2,1,8,1,1,10,8,1,0,0.000701000,0,0,0,0,1,2020-10-17 16:24:27.423558950,0,0,6,0,0,129,10,1,46,1,54,-56.4258,1204.46,79.8731,1350.55
21,72,1,0,3,1,2,11,1,9,1,6,1,0,-1,5,1,15,0,1,2020-10-17 16:24:28.737478971,4,0,0,0,0,129,15,2,28,127,180,-56.4258,1204.46,79.8731,1350.55
22,182,1,3,0,2,1,2,1,1,9,1,1,0,0.001642000,0,0,0,0,1,2020-10-17 16:24:40.364736080,7,0,7,0,0,129,8,1,55,2,85,-56.4258,1204.46,79.9201,1350.55
23,89,1,0,3,1,2,14,1,8,1,13,1,0,-1,0,0,0,0,1,2020-10-17 16:24:43.931605101,8,0,9,0,0,129,6,0,1,1003,1,-56.4258,1204.46,79.9201,1350.55
24,91,1,3,0,2,1,15,1,1,8,14,1,0,0.001041000,0,0,0,1,0,2020-10-17 16:24:47.569626093,9,0,5,0,0,129,2,1,42,1,23,-56.4258,1204.46,79.9201,1350.55
25,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,21,5,63,0,1,2020-10-17 16:24:48.005515099,8,0,2,0,0,129,7,1,33,0,199,-56.4258,1204.46,79.9201,1350.55
26,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 16:24:48.693542004,5,0,3,0,0,129,15,2,36,511,302,-56.4258,1204.46,79.9201,1350.55
27,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,4,1,12,0,1,2020-10-17 16:24:52.657572031,6,0,4,0,0,129,6,1,38,1,267,-56.4258,1201.01,79.9201,1350.55
28,72,1,0,3,1,2,11,1,2,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:24:52.705629110,1,0,8,0,0,129,11,1,58,1,111,-56.4258,1201.01,79.9201,1350.55
29,286,1,3,0,2,1,9,1,1,2,9,1,0,0.001963000,0,0,0,0,1,2020-10-17 16:24:55.701493979,2,0,1,0,0,129,2,2,32,255,230,-56.3984,1201.01,79.9201,1350.55
30,81,1,0,3,1,2,12,1,8,1,11,1,0,-1,0,0,0,0,1,2020-10-17 16:24:55.969521999,3,0,11,0,0,129,1,2,16,15,142,-56.3984,1201.01,79.9201,1350.55
31,85,1,3,0,2,1,13,1,1,8,12,1,0,0.000977000,0,0,0,1,0,2020-10-17 16:24:57.119605064,7,0,9,0,0,129,9,0,1,None,4,-56.3984,1201.01,79.9201,1350.55
32,72,1,0,3,1,2,11,1,6,1,6,1,0,-1,18,3,54,0,1,2020-10-17 16:24:57.575604916,0,0,6,0,0,129,11,1,46,1,55,-56.3984,1201.01,79.9201,1350.55
33,239,1,3,0,2,1,7,1,1,6,7,1,0,0.001093000,0,0,0,0,1,2020-10-17 16:24:58.889528990,4,0,0,0,0,129,0,2,28,127,181,-56.3984,1201.01,79.9201,1350.55
34,72,1,0,3,1,2,11,1,4,1,6,1,0,-1,6,1,18,0,1,2020-10-17 16:25:10.517596006,7,0,7,0,0,129,10,1,55,2,84,-56.3984,1201.01,79.5727,1350.55
35,206,1,3,0,2,1,4,1,1,4,3,1,0,0.001037000,0,0,0,0,1,2020-10-17 16:25:15.381570101,7,0,9,0,0,129,11,0,1,None,10,-56.3984,1201.01,79.5727,1350.55
36,72,1,0,3,1,2,11,1,3,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:25:17.721543074,9,0,5,0,0,129,3,1,42,1,24,-56.3984,1201.01,79.5727,1350.55
37,208,1,3,0,2,1,5,1,1,3,4,1,0,0.001064000,0,0,0,0,1,2020-10-17 16:25:18.157531977,8,0,2,0,0,129,8,1,33,0,198,-56.3984,1201.01,79.5727,1350.55
38,60,0,0,4,0,0,0,0,0,0,0,0,0,-1,11,2,33,0,1,2020-10-17 16:25:18.845509052,5,0,3,0,0,129,0,2,36,511,303,-56.3984,1201.01,79.5727,1350.55
39,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 16:25:22.810516119,6,0,4,0,0,129,7,1,38,1,266,-56.3984,1200.52,79.5727,1350.55
40,42,0,3,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 16:25:22.858549118,1,0,8,0,0,129,12,1,58,1,110,-56.3984,1200.52,79.5727,1350.55
41,72,1,0,3,1,2,11,1,8,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:25:25.854480028,2,0,1,0,0,129,3,2,32,255,231,-56.3844,1200.52,79.5727,1350.55
