,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3
0,72,1,1,0,1,2,10,1,8,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:51:25.200562000,4,0,2,0,0,129,6,2,36,511,104,,,
1,208,1,0,1,2,1,4,1,1,8,3,1,0,0.151883403,0,0,0,1,2,2020-10-17 18:51:26.700650692,8,0,4,0,0,129,14,1,42,1,11,,,1350.55
2,72,1,1,0,1,2,10,1,6,1,5,1,0,-1,10,2,95,0,1,2020-10-17 18:51:36.022617340,5,0,8,0,0,129,8,0,1,1200,2,,,1350.55
3,239,1,0,1,2,1,6,1,1,6,6,1,0,0.152031496,0,0,0,1,2,2020-10-17 18:51:39.571724892,0,0,5,0,0,129,6,1,46,1,20,,,1350.55
4,81,1,1,0,1,2,11,1,5,1,10,1,0,-1,27,6,146,1,0,2020-10-17 18:51:40.124672174,2,0,0,0,0,129,7,2,32,255,73,-56.3867,,1350.55
5,85,1,0,1,2,1,12,1,1,5,11,1,0,0.151866562,0,0,0,0,1,2020-10-17 18:51:44.705637455,5,0,8,0,0,129,9,0,1,1100,5,-56.3867,,1350.55
6,72,1,1,0,1,2,10,1,9,1,5,1,0,-1,8,2,24,0,1,2020-10-17 18:51:51.049820662,6,0,6,0,0,129,6,1,55,2,40,-56.3867,79.9282,1350.55
7,253,1,0,1,2,1,7,1,1,9,7,1,0,0.152918271,0,0,0,0,1,2020-10-17 18:51:56.769769192,7,0,8,0,0,129,6,0,1,1000,0,-56.3867,79.9282,1350.55
8,72,1,1,0,1,2,10,1,3,1,5,1,0,-1,4,1,64,0,1,2020-10-17 18:51:59.388739824,5,0,3,0,0,129,10,1,38,1,103,-56.3867,79.9282,1350.55
9,196,1,0,1,2,1,2,1,1,3,1,1,0,0.151994811,0,0,0,0,1,2020-10-17 18:52:00.736059904,3,0,10,0,0,129,7,2,16,15,58,-56.3867,79.9282,1350.55
10,81,1,1,0,1,2,11,1,5,1,10,1,0,8.530098909,18,3,132,1,0,2020-10-17 18:52:01.770856857,2,0,0,0,0,129,6,2,32,255,75,-56.4314,79.9282,1350.55
11,85,1,0,1,2,1,12,1,1,5,11,1,0,0.152921110,0,0,0,0,1,2020-10-17 18:52:07.655821562,7,0,1,0,0,129,7,1,33,8,68,-56.4314,79.9282,1350.55
12,60,0,2,2,0,0,0,0,0,0,0,0,0,-1,12,2,36,0,1,2020-10-17 18:52:08.253852605,6,0,8,0,0,129,7,0,1,78,4,-56.4314,79.9282,1350.55
13,60,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:52:12.138003349,1,0,7,0,0,129,7,1,58,1,44,-56.4314,79.9282,1350.55
