,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4
0,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:33:10.086124659,4,0,3,0,0,129,14,1,42,1,18,,,,1236.1
1,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:33:16.546042442,3,0,1,0,0,129,11,1,33,0,69,,,1005.24,1236.1
2,72,1,1,0,1,2,6,1,5,1,4,1,0,-1,0,0,0,0,1,2020-10-17 17:33:18.950016260,0,0,0,0,0,129,5,2,32,255,93,-56.2556,,1005.24,1236.1
3,239,1,0,1,2,1,4,1,1,5,5,1,0,0.152370530,4,1,12,0,1,2020-10-17 17:33:19.461965561,1,0,6,0,0,129,9,3,1,1,146,-56.2556,,1005.24,1236.1
4,72,1,1,0,1,2,6,1,3,1,4,1,0,-1,17,3,51,0,1,2020-10-17 17:33:22.436028004,2,0,4,0,0,129,3,1,55,2,38,-56.2556,81.4074,1005.24,1236.1
5,206,1,0,1,2,1,2,1,1,3,2,1,0,0.152331114,0,0,0,0,1,2020-10-17 17:33:23.287868261,1,0,6,0,0,129,10,3,1,1,145,-56.2556,81.4074,1005.24,1236.1
6,72,1,1,0,1,2,6,1,4,1,4,1,0,-1,5,1,15,0,1,2020-10-17 17:33:26.175845146,1,0,2,0,0,129,11,1,38,1,127,-56.2556,81.4074,1005.24,1236.1
7,196,1,0,1,2,1,1,1,1,4,1,1,0,0.152273546,0,0,0,0,1,2020-10-17 17:33:31.889852047,1,0,5,0,0,129,12,0,1,1200,2,-56.2556,81.4074,1005.24,1236.1
8,89,1,1,0,1,2,9,1,6,1,9,1,0,-1,0,0,0,0,1,2020-10-17 17:33:40.237748384,4,0,3,0,0,129,15,1,42,1,19,-56.2556,81.4074,1005.24,1236.09
9,91,1,0,1,2,1,10,1,1,6,10,1,0,0.152400872,0,0,0,0,1,2020-10-17 17:33:46.699705601,3,0,1,0,0,129,12,1,33,0,68,-56.2556,81.4074,1005.45,1236.09
