,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3
0,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:25.148924112,4,0,2,0,0,129,6,2,36,511,104,,,
1,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:26.648994923,8,0,4,0,0,129,14,1,42,1,11,,,1350.55
2,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,6,1,18,0,1,2020-10-17 18:51:35.970979929,5,0,8,0,0,129,8,0,1,1200,2,,,1350.55
3,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:39.520075083,0,0,5,0,0,129,6,1,46,1,20,,,1350.55
4,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,6,1,18,0,1,2020-10-17 18:51:40.073019028,2,0,0,0,0,129,7,2,32,255,73,-56.3867,,1350.55
5,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:44.653984070,5,0,8,0,0,129,9,0,1,1100,5,-56.3867,,1350.55
6,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 18:51:50.998195887,6,0,6,0,0,129,6,1,55,2,40,-56.3867,79.9282,1350.55
7,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:51:56.718158960,7,0,8,0,0,129,6,0,1,1000,0,-56.3867,79.9282,1350.55
8,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 18:51:59.337121964,5,0,3,0,0,129,10,1,38,1,103,-56.3867,79.9282,1350.55
9,42,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:52:00.683195114,3,0,10,0,0,129,7,2,16,15,58,-56.3867,79.9282,1350.55
10,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,1,0,2,0,1,2020-10-17 18:52:01.719245911,2,0,0,0,0,129,6,2,32,255,75,-56.4314,79.9282,1350.55
11,72,2,0,2,1,2,10,1,8,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:52:07.604216099,7,0,1,0,0,129,7,1,33,8,68,-56.4314,79.9282,1350.55
12,208,2,2,0,2,1,4,1,1,8,3,1,0,0.051334000,0,0,0,1,2,2020-10-17 18:52:08.202265024,6,0,8,0,0,129,7,0,1,78,4,-56.4314,79.9282,1350.55
13,42,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:52:12.086391926,1,0,7,0,0,129,7,1,58,1,44,-56.4314,79.9282,1350.55
14,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,10,2,95,1,2,2020-10-17 18:52:16.038427114,8,0,8,0,0,129,15,0,1,1300,3,-56.4314,79.9282,1350.55
15,42,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:52:22.772424936,6,0,8,0,0,129,8,0,1,78,7,-56.4314,79.9282,1350.55
16,72,2,0,2,1,2,10,1,6,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:52:25.302417040,4,0,2,0,0,129,7,2,36,511,105,-56.4314,79.9282,1350.55
17,239,2,2,0,2,1,6,1,1,6,6,1,0,0.051450000,0,0,0,0,1,2020-10-17 18:52:26.803016901,8,0,4,0,0,129,0,1,42,1,12,-56.4314,79.9282,1350.55
18,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,80,0,1,2020-10-17 18:52:27.723345041,5,0,9,0,0,129,11,3,1,1,123,-56.4314,79.9282,1350.55
19,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 18:52:33.088531017,8,0,8,0,0,129,1,0,1,1300,6,-56.4314,79.9282,1350.55
20,60,0,2,0,0,0,0,0,0,0,0,0,0,-1,5,1,15,1,2,2020-10-17 18:52:39.672522068,0,0,5,0,0,129,7,1,46,1,21,-56.4314,79.9282,1350.55
21,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,2020-10-17 18:52:40.226449966,2,0,0,0,0,129,8,2,32,255,74,-56.3759,79.9282,1350.55
22,81,2,0,2,1,2,11,1,5,1,10,1,0,-1,12,3,36,0,1,2020-10-17 18:52:40.692567110,8,0,8,0,0,129,2,0,1,1100,1,-56.3759,79.9282,1350.55
23,85,2,2,0,2,1,12,1,1,5,11,1,0,0.051335000,0,0,0,0,1,2020-10-17 18:52:51.151678085,6,0,6,0,0,129,9,1,55,2,39,-56.3759,79.249,1350.55
24,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,4,1,12,0,1,2020-10-17 18:52:59.489670038,5,0,3,0,0,129,12,1,38,1,102,-56.3759,79.249,1350.55
25,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:53:00.989820957,3,0,10,0,0,129,8,2,16,15,57,-56.3759,79.249,1350.55
26,72,2,0,2,1,2,10,1,9,1,5,1,0,-1,4,1,12,0,1,2020-10-17 18:53:02.035954952,2,0,0,0,0,129,7,2,32,255,72,-56.5242,79.249,1350.55
27,253,2,2,0,2,1,7,1,1,9,7,1,0,0.052367000,0,0,0,0,1,2020-10-17 18:53:07.910036087,7,0,1,0,0,129,8,1,33,8,70,-56.5242,79.249,1350.55
28,72,2,0,2,1,2,10,1,3,1,5,1,0,-1,4,1,64,0,1,2020-10-17 18:53:12.394131899,1,0,7,0,0,129,8,1,58,1,45,-56.5242,79.249,1350.55
29,196,2,2,0,2,1,2,1,1,3,1,1,0,0.051429000,0,0,0,0,1,2020-10-17 18:53:16.716921091,5,0,8,0,0,129,13,0,1,1200,2,-56.5242,79.249,1350.55
30,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,2020-10-17 18:53:25.531012057,4,0,2,0,0,129,8,2,36,511,106,-56.5242,79.249,1350.55
31,81,2,0,2,1,2,11,1,5,1,10,1,0,-1,18,3,132,0,1,2020-10-17 18:53:27.029954910,8,0,4,0,0,129,3,1,42,1,10,-56.5242,79.249,1312.65
32,85,2,2,0,2,1,12,1,1,5,11,1,0,0.052350000,0,0,0,0,1,2020-10-17 18:53:39.892353058,0,0,5,0,0,129,8,1,46,1,23,-56.5242,79.249,1312.65
33,72,2,0,2,1,2,10,1,2,1,5,1,0,-1,18,3,54,0,1,2020-10-17 18:53:40.466803074,2,0,0,0,0,129,9,2,32,255,77,-50.5468,79.249,1312.65
34,286,2,2,0,2,1,8,1,1,2,8,1,0,0.051563000,0,0,0,0,1,2020-10-17 18:53:51.457770109,6,0,6,0,0,129,10,1,55,2,38,-50.5468,84.4217,1312.65
35,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,6,1,31,0,1,2020-10-17 18:53:59.795901060,5,0,3,0,0,129,14,1,38,1,122,-50.5468,84.4217,1312.65
36,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 18:54:01.358726025,3,0,10,0,0,129,9,2,16,15,61,-50.5468,84.4217,1312.65
37,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:54:02.349746943,2,0,0,0,0,129,8,2,32,255,78,-42.6854,84.4217,1312.65
38,60,0,2,0,0,0,0,0,0,0,0,0,0,-1,5,1,15,1,2,2020-10-17 18:54:08.238110065,7,0,1,0,0,129,9,1,33,8,71,-42.6854,84.4217,1312.65
39,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:54:12.717665911,1,0,7,0,0,129,9,1,58,1,48,-42.6854,84.4217,1312.65
40,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:54:18.824129105,5,0,8,0,0,129,15,0,1,1100,5,-42.6854,84.4217,1312.65
41,60,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:54:25.768893003,4,0,2,0,0,129,9,2,36,511,113,-42.6854,84.4217,1312.65
42,42,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,2020-10-17 18:54:27.366408110,8,0,4,0,0,129,4,1,42,1,13,-42.6854,84.4217,1328.84
43,81,2,0,2,1,2,11,1,7,1,10,1,0,-1,0,0,0,0,1,2020-10-17 18:54:39.949593067,7,0,8,0,0,129,10,0,1,1000,0,-42.6854,84.4217,1328.84
44,85,2,2,0,2,1,12,1,1,7,11,1,0,0.050988000,0,0,0,1,2,2020-10-17 18:54:40.129645109,0,0,5,0,0,129,9,1,46,1,29,-42.6854,84.4217,1328.84
45,42,0,0,3,0,0,0,0,0,0,0,0,0,-1,1,0,16,1,2,2020-10-17 18:54:40.700962067,2,0,0,0,0,129,10,2,32,255,81,-18.575,84.4217,1328.84
46,42,0,0,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 18:54:45.988332987,6,0,8,0,0,129,11,0,1,78,4,-18.575,84.4217,1328.84
47,72,2,0,2,1,2,10,1,5,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:54:50.840250969,8,0,8,0,0,129,5,0,1,1100,1,-18.575,84.4217,1328.84
48,225,2,2,0,2,1,5,1,1,5,4,1,0,0.051576000,0,0,0,0,1,2020-10-17 18:54:51.772264957,6,0,6,0,0,129,12,1,55,2,32,-18.575,90.359,1328.84
49,72,2,0,2,1,2,10,1,4,1,5,1,0,-1,5,1,15,0,1,2020-10-17 18:55:00.108031034,5,0,3,0,0,129,0,1,38,1,118,-18.575,90.359,1328.84
50,142,2,2,0,2,1,1,1,1,4,14,1,0,0.050481000,0,0,0,0,1,2020-10-17 18:55:01.436065912,6,0,8,0,0,129,13,0,1,78,7,-18.575,90.359,1328.84
51,72,2,0,2,1,2,10,1,11,1,5,1,0,-1,8,2,76,0,1,2020-10-17 18:55:01.701992035,3,0,10,0,0,129,10,2,16,15,63,-18.575,90.359,1328.84
52,196,2,2,0,2,1,2,1,1,11,1,1,0,0.050634000,0,0,0,0,1,2020-10-17 18:55:02.678767920,2,0,0,0,0,129,9,2,32,255,80,-19.2969,90.359,1328.84
53,72,2,0,2,1,2,10,1,7,1,5,1,0,-1,12,3,88,0,1,2020-10-17 18:55:08.465768099,7,0,1,0,0,129,11,1,33,8,99,-19.2969,90.359,1328.84
54,206,2,2,0,2,1,3,1,1,7,2,1,0,0.051514000,4,1,12,1,0,2020-10-17 18:55:12.605429888,7,0,8,0,0,129,12,0,1,1000,0,-19.2969,90.359,1328.84
55,81,2,0,2,1,2,11,1,2,1,10,1,0,-1,0,0,0,0,1,2020-10-17 18:55:13.043375015,1,0,7,0,0,129,10,1,58,1,47,-19.2969,90.359,1328.84
56,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:55:26.005306005,4,0,2,0,0,129,10,2,36,511,114,-19.2969,90.359,1328.84
57,85,2,2,0,2,1,12,1,1,2,11,1,0,0.050894000,0,0,0,0,1,2020-10-17 18:55:26.303179026,8,0,8,0,0,129,6,0,1,1100,1,-19.2969,90.359,1328.84
58,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:55:27.593662024,8,0,4,0,0,129,7,1,42,1,9,-19.2969,90.359,1343.56
59,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,4,1,12,0,1,2020-10-17 18:55:32.103570938,8,0,8,0,0,129,8,0,1,1100,1,-19.2969,90.359,1343.56
60,72,2,0,2,1,2,10,1,10,1,5,1,0,-1,12,2,30,0,1,2020-10-17 18:55:40.357223988,0,0,5,0,0,129,10,1,46,1,30,-19.2969,90.359,1343.56
61,293,2,2,0,2,1,9,1,1,10,9,1,0,0.050723000,0,0,0,1,0,2020-10-17 18:55:40.925657034,2,0,0,0,0,129,11,2,32,255,83,-14.6938,90.359,1343.56
62,81,2,0,2,1,2,11,1,6,1,10,1,0,-1,18,3,132,0,1,2020-10-17 18:55:52.092072964,6,0,6,0,0,129,14,1,55,2,33,-14.6938,78.0,1343.56
63,85,2,2,0,2,1,12,1,1,6,11,1,0,0.052501000,0,0,0,1,0,2020-10-17 18:56:00.420211077,5,0,3,0,0,129,1,1,38,1,116,-14.6938,78.0,1343.56
64,81,2,0,2,1,2,11,1,2,1,10,1,0,-1,18,3,67,0,1,2020-10-17 18:56:02.013695002,3,0,10,0,0,129,11,2,16,15,64,-14.6938,78.0,1343.56
65,85,2,2,0,2,1,12,1,1,2,11,1,0,0.050746000,0,0,0,0,1,2020-10-17 18:56:02.977466106,2,0,0,0,0,129,10,2,32,255,82,-20.683,78.0,1343.56
66,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:56:08.689572096,7,0,1,0,0,129,13,1,33,8,79,-20.683,78.0,1343.56
