timestamp,rtu_id,bus_number,voltage_magnitude,voltage_angle,frequency,active_power,reactive_power,status,voltage_deviation,frequency_deviation,voltage_in_normal_range,frequency_in_normal_range,attack,attack_type,attack_severity,voltage_offset,frequency_offset,datetime
1759804163.7983968,RTU1,3,0.941,0.064,50.44,-165.1,-67.1,GOOD,0.0589,0.4367,0,1,1,Status Spoofing,low,-0.059,0.44,2025-10-07 02:29:23.798396826
1759804163.78441,RTU4,2,0.835,-0.006,49.96,385.6,135.8,INVALID,0.1646,0.0416,0,1,1,Voltage Attack,low,-0.165,0.0,2025-10-07 02:29:23.784410000
1759804163.8050005,RTU1,7,1.07,-0.076,49.07,197.3,9.1,SUSPECT,0.0704,0.9346,0,0,1,Measurement Noise,high,0.07,-0.93,2025-10-07 02:29:23.805000544
1759804163.7987485,RTU1,9,0.906,0.074,49.18,196.4,52.7,GOOD,0.0942,0.818,0,0,1,Status Spoofing,medium,-0.094,-0.82,2025-10-07 02:29:23.798748493
1759804163.7909918,RTU1,4,1.324,0.094,47.09,-331.1,-52.5,INVALID,0.3243,2.9074,0,0,1,Combined Attack,high,0.324,-2.91,2025-10-07 02:29:23.790991783
1759804163.7786899,RTU1,1,0.987,0.025,49.97,279.3,83.3,GOOD,0.0134,0.026,1,1,0,None,none,,,2025-10-07 02:29:23.778689861
1759804163.7820632,RTU1,2,0.908,-0.048,49.93,91.9,30.0,GOOD,0.0924,0.0707,0,1,1,Voltage Attack,low,-0.092,0.0,2025-10-07 02:29:23.782063246
1759804163.7938907,RTU4,8,1.074,-0.055,48.44,410.1,158.1,INVALID,0.0739,1.5588,0,0,1,Combined Attack,low,0.074,-1.56,2025-10-07 02:29:23.793890715
1759804163.7994113,RTU1,8,1.103,-0.057,49.36,-350.7,-193.0,GOOD,0.1025,0.6396,0,0,1,Status Spoofing,high,0.103,-0.64,2025-10-07 02:29:23.799411297
1759804163.7826574,RTU4,4,0.848,-0.056,49.89,110.1,24.8,GOOD,0.1517,0.1087,0,1,1,Voltage Attack,low,-0.152,0.0,2025-10-07 02:29:23.782657385
1759804163.799239,RTU1,2,1.062,0.066,49.51,-257.9,-110.2,GOOD,0.0618,0.4928,0,1,1,Status Spoofing,low,0.062,-0.49,2025-10-07 02:29:23.799238920
1759804163.7841508,RTU1,3,0.833,0.06,50.17,330.8,195.3,GOOD,0.1674,0.175,0,1,1,Voltage Attack,medium,-0.167,0.0,2025-10-07 02:29:23.784150839
1759804163.7843604,RTU1,2,1.236,-0.016,50.13,-115.4,-6.2,SUSPECT,0.2356,0.1255,0,1,1,Voltage Attack,medium,0.236,0.0,2025-10-07 02:29:23.784360409
1759804163.7878098,RTU1,8,1.015,0.039,52.46,-126.3,-57.2,SUSPECT,0.0153,2.4596,1,0,1,Frequency Attack,high,0.0,2.46,2025-10-07 02:29:23.787809849
1759804163.7966099,RTU2,9,0.814,-0.004,51.21,-332.5,-60.3,INVALID,0.1856,1.2085,0,0,1,Combined Attack,low,-0.186,1.21,2025-10-07 02:29:23.796609879
1759804163.8024845,RTU3,2,1.033,-0.056,50.11,37.8,153.0,GOOD,0.0331,0.1051,1,1,1,Measurement Noise,low,0.033,0.11,2025-10-07 02:29:23.802484512
1759804163.7840652,RTU3,1,1.151,0.021,49.85,304.8,123.0,GOOD,0.1508,0.1504,0,1,1,Voltage Attack,high,0.151,0.0,2025-10-07 02:29:23.784065247
1759804163.8059266,RTU3,1,0.931,0.049,50.31,-413.1,-121.7,GOOD,0.0695,0.3052,0,1,1,Measurement Noise,high,-0.069,0.31,2025-10-07 02:29:23.805926561
1759804163.7989988,RTU1,1,0.919,-0.033,50.41,-150.2,-132.3,GOOD,0.081,0.4098,0,1,1,Status Spoofing,low,-0.081,0.41,2025-10-07 02:29:23.798998833
1759804163.7949867,RTU2,4,1.219,-0.077,47.95,-385.8,-94.5,SUSPECT,0.219,2.0498,0,0,1,Combined Attack,medium,0.219,-2.05,2025-10-07 02:29:23.794986725
1759804163.7869213,RTU4,7,0.993,-0.065,52.51,111.1,8.4,SUSPECT,0.007,2.5148,1,0,1,Frequency Attack,medium,0.0,2.51,2025-10-07 02:29:23.786921263
1759804163.7874405,RTU4,7,1.004,0.055,48.06,100.3,163.0,GOOD,0.0041,1.9403,1,0,1,Frequency Attack,high,0.0,-1.94,2025-10-07 02:29:23.787440538
1759804163.7780807,RTU3,10,1.003,0.095,49.96,-199.9,-36.0,GOOD,0.0034,0.0438,1,1,0,None,none,,,2025-10-07 02:29:23.778080702
1759804163.774967,RTU2,2,0.984,0.092,49.92,-299.4,-131.5,GOOD,0.0158,0.0788,1,1,0,None,none,,,2025-10-07 02:29:23.774966955
1759804163.7748747,RTU2,6,1.02,-0.064,49.91,-210.9,-82.5,GOOD,0.0204,0.0878,1,1,0,None,none,,,2025-10-07 02:29:23.774874687
1759804163.7982228,RTU2,7,1.063,0.083,49.35,-121.1,-183.3,GOOD,0.0631,0.6518,0,0,1,Status Spoofing,low,0.063,-0.65,2025-10-07 02:29:23.798222780
1759804163.775428,RTU2,4,1.005,-0.068,50.04,382.8,81.3,GOOD,0.0046,0.0405,1,1,0,None,none,,,2025-10-07 02:29:23.775428057
1759804163.782359,RTU3,1,1.316,0.008,50.03,251.2,40.9,GOOD,0.3161,0.0275,0,1,1,Voltage Attack,high,0.316,0.0,2025-10-07 02:29:23.782358885
1759804163.7746449,RTU3,5,1.002,0.065,49.96,-88.7,-86.4,GOOD,0.0021,0.0386,1,1,0,None,none,,,2025-10-07 02:29:23.774644852
1759804163.7798662,RTU3,2,0.748,-0.042,50.13,-346.0,-102.7,SUSPECT,0.2517,0.1251,0,1,1,Voltage Attack,high,-0.252,0.0,2025-10-07 02:29:23.779866219
1759804163.7756672,RTU1,10,1.012,0.06,49.98,232.0,54.2,GOOD,0.0121,0.0155,1,1,0,None,none,,,2025-10-07 02:29:23.775667191
1759804163.7808502,RTU3,10,0.816,-0.073,49.97,-324.4,-154.3,GOOD,0.184,0.0258,0,1,1,Voltage Attack,medium,-0.184,0.0,2025-10-07 02:29:23.780850172
1759804163.7780411,RTU3,10,1.004,0.02,49.89,162.7,134.0,GOOD,0.004,0.1126,1,1,0,None,none,,,2025-10-07 02:29:23.778041124
1759804163.7866304,RTU2,6,1.013,0.018,50.73,-62.4,-84.3,GOOD,0.013,0.7336,1,0,1,Frequency Attack,high,0.0,0.73,2025-10-07 02:29:23.786630392
